,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
24,"[-0.3676298504098481, 39.51215280578914]","[-0.3767647455762448, 39.42823699736848]",9.363900186449838,18222.1,1074.3,12206.5,8788.5,12082.1,2478.5
25,"[-0.3312026003270102, 39.46519222356141]","[-0.3985192263762715, 39.43278481679823]",6.811351035697012,9080.1,899.5,8725.1,6282.0,8636.4,1727.2
26,"[-0.395251399491744, 39.48471093030851]","[-0.401836121444915, 39.47994657352135]",0.7746073978671607,2591.6,295.8,1305.3,939.8,2306.0,461.2
27,"[-0.3909857110916155, 39.47781151042607]","[-0.3625034178470658, 39.48726307633127]",2.6607701586501533,3725.4,378.3,3228.6,2324.6,3569.1,751.7
28,"[-0.3348321046201293, 39.46947784024738]","[-0.3906239995878762, 39.52040820007182]",7.41554917949004,9331.0,836.7,9433.1,6791.8,9256.5,1851.2
29,"[-0.3755513454290657, 39.47994982117808]","[-0.3831816768881442, 39.47016168733559]",1.270243552392216,2688.0,406.7,1621.9,1167.7,2044.5,422.8
30,"[-0.3917449634104346, 39.476756761315855]","[-0.3327511642891365, 39.46949583667412]",5.127630304294817,6951.8,744.6,6079.9,4377.4,6863.0,1372.5
31,"[-0.3303298470342825, 39.432773713584105]","[-0.3392758878488954, 39.48382042837763]",5.727861526381569,,,9941.9,7158.1,10135.7,2226.6
32,"[-0.3308469228713081, 39.4750043954292]","[-0.3466484710731204, 39.46698362435882]",1.6233040622023507,2946.5,335.5,2281.7,1642.8,2392.1,511.9
33,"[-0.4046256440311418, 39.48220321237567]","[-0.3453739834112426, 39.45590970353684]",5.866553390282846,7738.2,772.4,6899.6,4967.6,7418.1,1489.6
34,"[-0.3612890834169068, 39.48969344244932]","[-0.3604024719067137, 39.46695867282663]",2.529136067268044,2823.0,294.4,2960.6,2131.6,3257.7,675.2
35,"[-0.3985129734633275, 39.47186083829896]","[-0.4023590471075415, 39.4791677652876]",0.8769944527624155,1933.8,291.9,1206.2,868.5,1559.0,311.8
36,"[-0.3551700582769387, 39.452172550970886]","[-0.3338315477951045, 39.43869225338594]",2.36730515372809,,,4706.6,3388.8,5555.4,1254.4
37,"[-0.3771117437418999, 39.474457666578914]","[-0.3548795718611013, 39.487104058988415]",2.3702633538538285,5043.1,702.0,3084.0,2220.4,3508.6,755.4
38,"[-0.3366371676692541, 39.48575232272142]","[-0.3737286309540375, 39.50400160170309]",3.774573174157617,4608.1,469.8,4425.6,3186.4,4749.5,1052.0
39,"[-0.3497363987983595, 39.47300976676514]","[-0.385301552901488, 39.44654744243444]",4.240364865784037,5689.0,525.0,5490.8,3953.3,5538.0,1112.6
40,"[-0.3652927131752997, 39.45935041550514]","[-0.3424926387068411, 39.45538894321019]",2.0064137145726275,2823.9,332.0,2375.4,1710.2,2723.5,544.7
41,"[-0.3903301190164993, 39.482305968386285]","[-0.3691809798040711, 39.48803098928936]",1.923401175235313,2438.6,266.1,2330.5,1677.9,2422.6,500.5
42,"[-0.284373674201247, 39.28926484840981]","[-0.4100103627022506, 39.463584629266144]",22.188605732013045,26531.6,1655.1,28290.5,20369.0,29234.0,6155.0
43,"[-0.3645016126279383, 39.46437434075838]","[-0.3696253483491731, 39.43742056785224]",3.029238206967953,5390.7,558.1,5751.9,4141.3,5624.7,1161.7
44,"[-0.3594002433037124, 39.45108420436557]","[-0.365674814952478, 39.4570739058754]",0.8566247949763319,1708.8,223.6,1007.7,725.5,1256.2,253.6
45,"[-0.3973470357318258, 39.45553061461376]","[-0.3969148189691071, 39.4873565651226]",3.5390786937250605,4703.1,505.6,4608.8,3318.3,4582.6,916.5
46,"[-0.3899325548705375, 39.46919502007662]","[-0.3348021894821243, 39.4285078160428]",6.548010618564773,8169.8,741.1,8478.6,6104.5,9093.5,1965.1
47,"[-0.3413886003883293, 39.445465979819375]","[-0.3520850341885426, 39.476389723683376]",3.559066198150982,4803.0,533.9,4807.3,3461.2,4732.3,946.4
48,"[-0.3867451762161203, 39.480251890454575]","[-0.3323530753990802, 39.38293822517044]",11.786095284603556,13549.7,941.2,14433.1,10391.8,14911.1,3083.0
49,"[-0.3374977610316964, 39.422436353427386]","[-0.3834453449942425, 39.481926606903045]",7.702065352534085,9705.6,873.7,9671.0,6963.1,10426.7,2196.1
50,"[-0.4055193550052845, 39.49747395598333]","[-0.324992293607838, 39.37059570182633]",15.712113781479244,24199.3,1262.3,18907.7,13613.4,19269.0,4031.8
