,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
10933,"[2.206328382767796, 41.42327111000372]","[2.1775688359110394, 41.45782413512509]",4.528677058305641,8833.2,1018.0,6272.5,4516.1,6922.6,1396.1
10934,"[2.176816421211744, 41.4363437029177]","[2.154042072117149, 41.32842463448488]",12.149551781672276,,,,,,
10935,"[2.1396982499377177, 41.32237659569413]","[2.164218620572546, 41.36877502003424]",5.550490281375598,7349.2,856.2,7874.7,5669.7,7578.5,1543.2
10936,"[2.177612728528242, 41.35567529792624]","[2.132461845493116, 41.39645555725014]",5.895352863971117,,,7655.4,5511.7,8500.6,1807.1
10937,"[2.1834921451695317, 41.434834240039024]","[2.109935392355753, 41.3937380952646]",7.648979057264137,10896.4,1064.2,8673.4,6244.7,8732.1,1774.5
10938,"[2.1194186947860074, 41.39779668555652]","[2.170573196463036, 41.43906309146978]",6.2649804582685285,7668.2,672.6,7323.5,5272.8,7779.6,1573.2
10939,"[2.1216086311209663, 41.39891247139912]","[2.1581187599639176, 41.44032637712813]",5.520340751619309,7672.7,746.9,6323.2,4552.6,6766.2,1483.8
10940,"[2.1745823978032752, 41.42617165507609]","[2.2081493799563217, 41.439053199942926]",3.1436481909319944,5240.0,718.3,3984.3,2868.6,4180.8,904.0
10941,"[2.189040443148743, 41.37793986633553]","[2.2165127063605623, 41.41496780471208]",4.712058971179883,5751.0,557.9,5541.5,3989.8,5848.5,1229.9
10942,"[2.1522822183686907, 41.442253605879394]","[2.210686737958262, 41.41794614936097]",5.569056218408069,10279.8,1014.8,6608.6,4758.1,7164.9,1534.3
10943,"[2.148972555827877, 41.416744989413885]","[2.1823327062167115, 41.42533440018994]",2.9410248220794264,5198.4,816.8,3709.3,2670.6,4490.3,963.9
10944,"[2.165050759806249, 41.40536586602661]","[2.1409515406371726, 41.37186953082204]",4.2325704676343054,6737.8,814.2,4992.4,3594.4,5550.2,1137.1
10945,"[2.1598522402132643, 41.40108932190204]","[2.1500839280029305, 41.43409475971454]",3.7593415474314553,5411.5,723.0,4795.0,3452.3,5417.5,1231.8
10946,"[2.1863006211956115, 41.43987285511589]","[2.200904531614245, 41.43599119501001]",1.2916307285408042,2049.0,367.4,1700.1,1224.1,2057.7,411.5
10947,"[2.130900336281124, 41.41533397190018]","[2.141539410107132, 41.379306632167015]",4.103172085489205,5826.7,821.7,4969.7,3578.1,5216.6,1084.5
